Start,Duration,Class of Type,Event Type,Kind of Object,Event Object,Comment,Tag,Status
2021-08-05 00:00,120,Unclassified,Consume,Unclassified,Mobile,,,Done
2021-08-05 02:00,360,Unclassified,Circadian,Unclassified,,,,Done
2021-08-05 08:00,120,Unclassified,Consume,Unclassified,Mobile,,,Done
2021-08-05 10:00,30,Unclassified,Career,Unclassified,Meeting,1:1 Bern,,Done
2021-08-05 10:30,30,Unclassified,Career,Unclassified,Meeting,1:1 Fhelicia,,Done
2021-08-05 11:00,30,Unclassified,Career,Unclassified,Meeting,1:1 Elaine,,Done
2021-08-05 11:30,30,Unclassified,Career,Unclassified,Meeting,1:1 Owais,,Done
2021-08-05 12:00,60,Unclassified,Career,Unclassified,Reports,Su Min Peeformance ,,Done
2021-08-05 13:00,30,Unclassified,Care,Unclassified,Swimming,,,Done
2021-08-05 13:30,60,Unclassified,Consume,Unclassified,Movies ,Grey’s Anatomy,,Done
2021-08-05 14:30,60,Unclassified,Career,Unclassified,Meeting,,,Done
2021-08-05 15:30,30,Unclassified,Career,Unclassified,Meeting,Mamun Trident clarifications ,,Done
2021-08-05 16:00,30,Unclassified,Career,Unclassified,Meeting,MTPO Catch-Up,,Done
2021-08-05 16:30,30,Unclassified,Career,Unclassified,Meeting,MTSO Catch-Up,,Done
2021-08-05 17:00,60,Unclassified,Career,Unclassified,Meeting,Comms Platform Leads,,Done
2021-08-05 18:00,120,Unclassified,Create,Unclassified,Cooking,,,Done
2021-08-05 20:00,30,Unclassified,Consume,Unclassified,Podcast,BBC World News,,Done
2021-08-05 20:30,60,Unclassified,Consume,Unclassified,Movies ,Grey’s Anatomy ,,Done
2021-08-05 21:30,30,Unclassified,Consume,Unclassified,Mobile,,,Done
2021-08-05 22:00,30,Unclassified,Consume,Unclassified,Books,Doughnut Economics ,,Done
2021-08-05 22:30,30,Unclassified,Consume,Unclassified,Books,,,Done
2021-08-05 23:00,30,Unclassified,Consume,Unclassified,Books,Girlhood,,Done
2021-08-05 23:30,480,Unclassified,Circadian,Unclassified,,,,Done
2021-08-06 07:30,30,Unclassified,Consume,Unclassified,Podcast,"BBC world news
Getting coffee",,Done
2021-08-06 08:00,30,Unclassified,Create,Unclassified,Cooking,,,Done
2021-08-06 08:30,30,Unclassified,Connect,Unclassified,Partner,Breakfast ,,Done
2021-08-06 09:00,60,Unclassified,Connect,Unclassified,Partner,Conflict ,,Done
